topic_id,evidence_number,title,source,date,url,available_text,centrality_score
0,1,"Sportswear Fabric Market Size, Share, Report By 2035 - Market Research Future",Market Research Future,2026-04-06 07:00:00,https://news.google.com/rss/articles/CBMigAFBVV95cUxOVDcxNTAydHJYanRYVlpNa1pGelpXZldZMllIWXNWSHlzajh1cUo0Mjc4STkxa2ZZV05LWEhDU3ktUDJBcGlyZGpxN2xiX0N5VmZhUzljM0pxb2RDYXlONEtnRVZ6TjVNYXlQajBNZ1pCSF95UWNvWGdrSXNWM0ZBNQ?oc=5,"Sportswear Fabric Market Size, Share, Report By 2035 - Market Research Future. Sportswear Fabric Market Size, Share, Report By 2035 Market Research Future",0.8698
0,2,"Sports Apparel Market to Reach USD 383.88 Billion by 2032, Driven by Rising Fitness Awareness and Global Activewear Demand | Industry Forecast 2025-2032: Maximize Market Research - PR Newswire UK",PR Newswire UK,2026-02-04 08:00:00,https://news.google.com/rss/articles/CBMi0wJBVV95cUxOdkdkaTdKcGNBSkRkWHIyUGdBQjAyOHJ3UTZEN2tWc3RrOVlDUVotSjV0ZnRwcmNXamxzbTl1UWpQS1czUTdjWTU5MlhWQ0FuQ3YyX1l6OXJQa0NhUk5oMnYyYzlDc1AwZ3VQUkx0Tk9TUlhzU0JuZzRveG5PQnQwVDctNHk4Q1Y3eXNfTThmenY4MHVIaXMwOUxOSEJBSW0xXzBiUlRaczBzX09EbkpJWmJHalBPSG9lTm9ka2JWSzhKRjhfelZTOVVNSm5KYVpSaUxtWE9SdU5leldWZXVJM3U3czFiT1Q5YUJuYWVMWnJkVW5tQ1NSTkZ5b2FZZVRTVmVBblZrYWZ6eGhBcVFfX3lsYkFoeWxfckRWSkU5X1k3cGhaTnNVdlFXT200aEhkVlpWOEplRGpBSk9EaU1kVnNRbFFTQ0s1cExUOVFDUnVKYWM?oc=5,"Sports Apparel Market to Reach USD 383.88 Billion by 2032, Driven by Rising Fitness Awareness and Global Activewear Demand | Industry Forecast 2025-2032: Maximize Market Research - PR Newswire UK. Sports Apparel Market to Reach USD 383.88 Billion by 2032, Driven by Rising Fitness Awareness and Global Activewear Demand | Industry Forecast 2025-2032: Maximize Market Research PR Newswire UK",0.8676
0,3,Gym Apparel Market | Global Market Analysis Report - 2035 - Future Market Insights,Future Market Insights,2025-11-06 08:00:00,https://news.google.com/rss/articles/CBMicEFVX3lxTE5obTNSUWplSHg3bnZuSFBYb2FCeHRTM1hBdWhtdnJrdGpRa2xqZW9fVk9KWFFJdWZlZUZvdkw0eXV6V3FYckZLV1JJZEt0bkNSVUZSX3FJTXptTF9OX2hDR3NrWXlHYmxYWE1nOXBTLXM?oc=5,Gym Apparel Market | Global Market Analysis Report - 2035 - Future Market Insights. Gym Apparel Market | Global Market Analysis Report - 2035 Future Market Insights,0.8466
0,4,Premium Outdoor Apparel Market | Global Market Analysis Report - 2035 - Future Market Insights,Future Market Insights,2025-09-12 07:00:00,https://news.google.com/rss/articles/CBMigAFBVV95cUxObUV0WVhiczNOR3VGZlA3aGdZTmk5SEE0MHFsNEFndldIMjhxaTJCRzdvNVlKQ3BkUWJ4RXU2cWRlbXhtX3RIS1VsVHRsYno3ZmM1UEZMVTF5bjgtOVZXUVBsSXhRSFJKamVWMkI5QVJPZEdvTktNNng0a25Pa3I4Rg?oc=5,Premium Outdoor Apparel Market | Global Market Analysis Report - 2035 - Future Market Insights. Premium Outdoor Apparel Market | Global Market Analysis Report - 2035 Future Market Insights,0.8123
0,5,Sports Apparel Market Size & Share | Growth Trends 2035 - Research Nester,Research Nester,2026-03-25 07:00:00,https://news.google.com/rss/articles/CBMic0FVX3lxTE94OG5xdHJYX0QweHlTdFY2ak15dFprR1VnaS1GUmJtY3hodktfNGN5dTNJYkZjMjlRQm9YOU9BM2dXYWlyX1BjSEJOT2RvekNxeXFFbl9nQkRUS2NYOElxS2ZZQ2VFVklIWHhhVEFNNktQSDQ?oc=5,Sports Apparel Market Size & Share | Growth Trends 2035 - Research Nester. Sports Apparel Market Size & Share | Growth Trends 2035 Research Nester,0.7917
1,1,How New Sports Trends and Consumer Habits Are Shaping the UK's Athletic Footwear Market - Breaking The Lines,Breaking The Lines,2025-06-28 07:00:00,https://news.google.com/rss/articles/CBMivAFBVV95cUxPSXlDWW45NFpZc19DVEVhTFpnVGtBdjY3Z2owM3VwTkM1cnliWDBhT0NXaDRncHBvSGUya0MyNXU4Um41ZVpXT05xZWR1SDVsZkJ0RUFyVzlSZXNIdlFWd05iRmVYT1lRTElGWm5ua1RrSERjdTJ5Mk9Cck8zQmdmM1dZdmlYakxUSEZ3YXpHZWhta3RsUTdsR2NXdDlLYVZGaF9mNk54X2Zxb05MWXdpR3k4U04tVXFHT2hJVw?oc=5,How New Sports Trends and Consumer Habits Are Shaping the UK's Athletic Footwear Market - Breaking The Lines. How New Sports Trends and Consumer Habits Are Shaping the UK's Athletic Footwear Market Breaking The Lines,0.8092
1,2,Deckers Brands: Who is the sportswear group outperforming the market and how is it growing in the UK? - Retail Week,Retail Week,2024-09-24 07:00:00,https://news.google.com/rss/articles/CBMiygFBVV95cUxNUnhDTnFMSnNqNXpXOTBGRG9CME9fcXJHSXVUMjZIcGpqUnZ0MjVOYk1iS3EyVmtuY09LSzdjdE9WZUJUZHhFNU5aR3RuT3VydEtJVlcyTl9LblI1X3lISkZqcVE3akJvbFI1VW9Tb0JJM3NLLUp6dEVkdTJkT1RJV1dsaTdkTURBZ3lvNEdOTW5lRWFJN2NLMktSMm5ReV9wR21jV0w0alBER1QzZHB4bVNDTnN1bENLTVF0aXlBS3NOY0prcmxaVGNn?oc=5,Deckers Brands: Who is the sportswear group outperforming the market and how is it growing in the UK? - Retail Week. Deckers Brands: Who is the sportswear group outperforming the market and how is it growing in the UK? Retail Week,0.7583
1,3,From stadiums to street style: Sports-fashion partnerships win over UK consumers - YouGov,YouGov,2026-08-05 14:57:28,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPOHdEQzFVSHRQa3pFTm5ZeTZ5eVN6QjlWSXhFMTMwQVVBTnU1TzVHTGt0R2VFRDRFWDJkbmhxekpCRFAtZ29jM2RYZ1lfLTBCZGpISDNTdk53dUt3Q0R3OS02MkY4V2NaWW5oNldSRHgteGtKbzlST3hHYUNZbGpQeE9Pald5TUd1VldWbVJiajdiSkJJQmJWeERDQkRZaXVNdEhLUWlLS0dLNTRVS1JScWtzYm5XeHVDOEhj?oc=5,From stadiums to street style: Sports-fashion partnerships win over UK consumers - YouGov. From stadiums to street style: Sports-fashion partnerships win over UK consumers YouGov,0.7437
1,4,United Kingdom Sportswear Market Forecast and Opportunity - GlobeNewswire,GlobeNewswire,2025-10-30 07:00:00,https://news.google.com/rss/articles/CBMi8gJBVV95cUxPd2RDWmZKY2lEY3prRkhyMUJGTjY0MWFoYlYtaXNoOExWY0JNV3Zna3VZcjViaDVOR3QtaktIdlBjamxlSUN0S3BiTUttbFczVHpUSVRKOTQwc1RXUzNxQzB4WHA3eXFVWkl5bTROTEhIN0g2UlRMTUMtOWNuQ1ZsM3ZES1FOVzRBTU1tYkhUMDB2ZGVGSnVDTmFWRjhYVzlQZk9Qa18xZ19rVm9rbk9lcDhpNUJmei14ZHBqNnRDOVhmUHRfRE5FZFR6cGVPQjdEZDFPOHA3MDNQZE1EdWNFOTRQZHoyejJDNkZiYTBoUDVsUk5jamtkMjVaTDZLVWxqZ0FYSktHRzU4TmlyQjZidUE2YmhXQU9ISmdZbGl0R3REQnlPdlBfemFOWnphTTJFQmVPcXZ0UFpBM3p2YWZyMHNEekZlUVlwci00cTNFVTdBenRZd2hIVWsxZ1dyTHFuQzZYS19jTzVfZUdhVUdfemln?oc=5,United Kingdom Sportswear Market Forecast and Opportunity - GlobeNewswire. United Kingdom Sportswear Market Forecast and Opportunity GlobeNewswire,0.7408
1,5,Retailing in the UK sports niche: pros and cons - Retail Times,Retail Times,2024-09-17 07:00:00,https://news.google.com/rss/articles/CBMifkFVX3lxTE9xZDlRdExkYk9TMTlLTlI5LXNqN19UMkFtX1EyQUhEcjNHNkoyMzRPd21jM29ma2FNOUE5aXdXaVpOWVZKRklrUkN5clg2bGhublItZnFwMk5yU0djN3p0ZGJrdWJBeVVKTzZBNG02dmh1VWxjRjZKRndhVkM1Zw?oc=5,Retailing in the UK sports niche: pros and cons - Retail Times. Retailing in the UK sports niche: pros and cons Retail Times,0.7393
